ID,Vehicule_Age,Combustible_Type,Car_Model,Insurance_Premium,Policy_Type,Prof_Type
244,10,Gasoline,Jeep,7.225,,C
639,1,Gasoline,Truck,16.1,,S
110,6,Gasoline,Jeep,52.0,C110,S
413,10,Gasoline,Truck,0.0,,S
218,7,Gasoline,Jeep,76.2917,D15,C
841,9,Gasoline,Truck,10.5,,S
619,4,Gasoline,Sedan,10.5,,S
791,6,Gasoline,Truck,26.0,,S
314,7,Diesel,Truck,26.25,,S
543,12,Gasoline,Jeep,26.0,,S
202,4,Gasoline,Truck,6.4958,,S
414,5,Gasoline,Jeep,7.925,,S
442,1,Gasoline,Sports_Car,7.775,,S
557,3,Gasoline,Truck,227.525,,C
129,5,Gasoline,Jeep,6.975,,S
194,4,Gasoline,Compact,27.7208,B4,C
788,13,Ethanol,Sports_Car,20.575,,S
735,4,Gasoline,Jeep,16.1,,S
152,11,Gasoline,Compact,8.05,,S
410,9,Gasoline,Jeep,7.8958,,S
624,3,Gasoline,Jeep,16.1,,S
629,6,Gasoline,Sports_Car,7.7333,,Q
222,4,Gasoline,Sedan,8.05,,S
27,0,Ethanol,Sports_Car,263.0,C23 C25 C27,S
613,8,Gasoline,Sports_Car,7.75,,Q
59,14,Ethanol,Truck,46.9,,S
349,6,Gasoline,Sedan,8.6625,,S
377,7,Ethanol,Sports_Car,211.5,C82,C
788,13,Ethanol,Sports_Car,20.575,,S
44,4,Gasoline,Sports_Car,7.8792,,Q
768,11,Gasoline,Sports_Car,24.15,,Q
646,3,Gasoline,Jeep,7.8958,,S
711,14,Gasoline,Jeep,26.55,C124,S
519,12,Gasoline,Jeep,7.8958,,S
327,7,Gasoline,Sedan,13.0,D,S
636,8,Gasoline,Compact,7.925,,S
576,8,Gasoline,Compact,13.0,,S
553,7,Gasoline,Truck,7.225,,C
91,13,Gasoline,Sedan,7.8542,,S
447,3,Gasoline,Sedan,26.55,,S
