ID,Claim,Claim_Amount
604,Claim,968.999179543
614,No_Claim,0.0
846,No_Claim,0.0
629,No_Claim,0.0
256,Claim,615.767699849
640,No_Claim,0.0
372,No_Claim,0.0
483,Claim,456.688905721
56,Claim,841.473094138
856,Claim,503.115240048
540,Claim,741.984530126
883,No_Claim,0.0
315,Claim,708.581685848
485,No_Claim,0.0
108,No_Claim,0.0
734,No_Claim,0.0
179,No_Claim,0.0
315,Claim,708.581685848
3,Claim,600.476662432
425,No_Claim,0.0
412,Claim,996.698614706
102,No_Claim,0.0
146,Claim,580.482761682
422,No_Claim,0.0
370,Claim,426.689271789
346,Claim,635.334243389
877,No_Claim,0.0
421,No_Claim,0.0
880,Claim,96.2230306324
509,Claim,131.332660478
448,Claim,79.6523808723
627,Claim,598.083580925
752,No_Claim,0.0
133,Claim,824.55634798
414,Claim,381.806125234
765,Claim,215.121306541
641,Claim,780.052946354
299,Claim,536.430652027
783,No_Claim,0.0
136,Claim,111.264138636
174,No_Claim,0.0
54,No_Claim,0.0
572,Claim,916.782348794
841,No_Claim,0.0
113,No_Claim,0.0
254,No_Claim,0.0
700,Claim,216.404654281
610,No_Claim,0.0
700,Claim,216.404654281
