ID;Claim;Claim_Amount
244;No_Claim;0.0
639;No_Claim;0.0
110;No_Claim;0.0
413;No_Claim;0.0
218;Claim;955.026860636
841;No_Claim;0.0
619;No_Claim;0.0
791;No_Claim;0.0
314;No_Claim;0.0
543;Claim;510.494168394
202;No_Claim;0.0
414;Claim;381.806125234
442;No_Claim;0.0
557;No_Claim;0.0
129;No_Claim;0.0
194;Claim;860.337841042
788;Claim;759.414538642
735;No_Claim;0.0
152;No_Claim;0.0
410;No_Claim;0.0
624;No_Claim;0.0
629;No_Claim;0.0
222;No_Claim;0.0
27;No_Claim;0.0
613;No_Claim;0.0
59;No_Claim;0.0
349;No_Claim;0.0
377;No_Claim;0.0
788;Claim;759.414538642
44;Claim;865.15502163
768;No_Claim;0.0
646;No_Claim;0.0
711;No_Claim;0.0
519;No_Claim;0.0
327;Claim;682.639822064
636;No_Claim;0.0
576;Claim;930.859424963
553;Claim;52.1571927679
91;No_Claim;0.0
447;Claim;278.895856228
