user_id	item_id	amt	nb
11894868	607	193181.04	1
11954520	602	3888110.63	5
18276903	700	0.00	1
31509189	213	470000.00	1
11919870	201	1198293.90	1
4955913	202	264.50	1
11755044	623	1606595.06	2
28996461	622	23598.99	1
11876985	629	22523.31	1
11945592	700	0.00	1
13598091	602	112433.25	1
28233054	623	56854.05	1
11861019	621	366254.05	1
347445	100	0.00	4
38810322	623	21505.12	1
4500369	141	131279386.15	287
18235368	607	14361.24	1
12630420	608	96789.77	1
11759517	623	32456.82	1
11920419	141	0.00	1
27822024	623	54935.33	1
11953602	603	610785.72	10
11910069	608	74318.72	2
19896786	608	5874.63	1
27556191	602	101061.07	8
11920788	200	125074.23	1
9097101	621	0.00	1
42301593	205	12658.08	1
9014868	623	192822.24	2
23418765	201	88023.00	1
11967246	629	116547.63	1
11938842	200	12465.09	2
11977623	256	9294.00	1
23430834	607	57878.87	1
38835126	605	0.00	1
11834136	602	249148.61	1
19811646	200	451780.29	4
42300360	603	158047.18	5
27883584	621	251636.88	2
11827197	602	447436.53	3
11961702	608	73611.57	1
31506714	603	130886.10	3
4952196	256	850897.24	2
11874303	605	22902.47	1
11775663	369	2580.20	2
29001951	623	179132.28	1
30370257	140	201035.70	1
28050570	211	53340.00	1
11964780	602	239028.06	3
37980594	627	928295.81	1
11974644	313	1351.69	1
11811357	608	33255.42	1
18026091	140	2841966.02	18
9902502	140	70815.36	2
11961288	605	155366.82	2
11862450	602	19756.76	1
38890701	624	3047.40	1
38828988	602	102627.84	1
11856888	608	94339.70	2
11970477	623	122362.85	1
38926242	602	869204.04	1
12610575	140	985469.27	1
30361311	201	89346.37	4
11981151	605	196367.94	1
11949102	200	341547.14	3
11926674	603	192712.73	2
9099495	608	108552.73	4
11887353	608	426146.89	4
11894157	627	184736.07	1
39870477	201	29172.38	1
11905317	602	129321.71	4
39064806	200	70034.40	1
27865215	200	0.00	1
39063600	625	0.00	1
18541458	205	144050.84	1
19892484	608	61056.10	1
38819448	603	59067.29	9
18322002	603	34243.40	2
9641943	602	96066.87	4
5042007	605	73617.26	1
11808801	602	48179.55	1
18637677	141	23159324.85	17
11798946	608	77292.70	2
12661236	411	87333.00	2
11927196	621	33005.56	1
12656808	605	29060.05	2
39067515	141	0.00	2
18329994	629	31331.03	1
13602645	140	376094.50	2
39348369	622	36645.41	1
13590351	256	4565.39	1
11957265	603	33972.41	2
23861034	201	5201.45	1
11947572	622	20402.88	1
12618423	602	25780.36	1
11891016	608	69769.79	2
11813013	603	185218.72	4
11912643	602	35511.34	1
27889542	621	1519.53	1
38913840	201	9043.25	2
12643965	141	1024722.44	2
11968083	603	23655.11	1
27870426	623	94616.98	2
27488250	200	6750.68	1
29062665	603	849937.88	8
11962242	140	184216.72	6
12639222	603	108637.47	10
39063132	603	0.00	11
12621375	622	11052.11	1
11928663	201	390690.23	4
11893617	141	312822.54	1
30416400	211	13335.00	1
11861361	607	845776.48	4
13598478	200	28768.66	3
11906802	622	708119.69	1
27558387	622	118112.29	1
27724878	211	20250.00	1
11908629	603	5399217.06	8
28067076	623	10557.26	2
11825730	200	59321.42	2
38286045	607	549432.81	2
38874636	604	2910.77	1
12633552	256	188478.22	1
41391756	605	0.00	1
19894653	603	128137.87	4
9107937	211	80010.00	1
9103140	200	36670.09	3
11481867	622	67170.87	4
28443996	602	444322.06	5
9115047	623	43571.72	1
13603374	201	61116.47	5
11854125	140	2506795.54	13
9009810	413	36806.31	1
11887353	602	249010.04	2
11823345	201	151309.43	4
11958930	202	21648.93	1
38799864	602	117764.53	4
11959119	201	36139.41	7
38914128	608	87720.30	4
11903184	150	69052.28	2
11953989	201	904349.45	5
12650427	200	7828.02	1
11970918	201	66684072.00	1
38781891	607	25329.30	1
4952196	211	57980.00	1
29018250	100	283045.40	3
11851740	141	15865.76	1
18305757	622	37715.46	2
11892528	623	10105.42	1
11850156	627	93772.37	1
11856888	602	212770.85	4
11875869	201	406577.71	10
14403519	140	1417943.89	9
38786400	201	1135415.20	18
9906381	607	178852.03	1
18284400	607	784509.06	3
11964834	256	20715.24	1
19905741	201	160706.14	3
30365928	100	201020.00	1
11953647	140	240144.57	6
27494478	623	25207.92	3
11775663	201	1000710.13	10
29250594	201	41343.48	3
12612618	117	142167.83	2
27295677	200	69615.40	11
13614255	202	155850.54	1
27225108	201	178843.46	3
19805364	601	18696.38	1
18286362	602	241916.12	4
11916252	201	1371765.98	5
11901726	141	822255.40	1
11713023	608	180360.19	1
38745000	621	17893.01	1
11959641	602	49695.39	1
11895183	603	1818745.29	3
31506030	411	36093.32	1
11942748	603	51423.68	1
13591161	627	1508179.41	1
11736459	602	22849.24	4
11856870	141	701189.01	3
38812698	605	155084.55	2
29071251	622	160200.24	2
18720756	201	5407.87	1
38885346	256	248746.06	1
11906262	140	500583.70	2
11803689	141	1253309.34	5
27557532	605	0.00	1
11714760	201	68902.99	5
11828790	140	467525.00	5
11949984	603	865098.61	3
11779542	100	7202.44	2
11944044	140	26666.53	1
18067968	627	0.00	1
18258768	605	360269.84	2
11936529	141	955293.08	2
12633552	211	347880.00	1
38760858	623	48025.19	5
